age,anxiety,confidence,datetime,ethnicity,gender,identification,logfile,meeting,response_time,subject_nr,suspicion,exclusions,event,suspect,target,condition,decision,age_category,anxiety.new,confidence.new,date,week,target_name,shown_name,accuracy,choosing,decision_evaluation
15 - 20,4,7 Very confident,02/15/17 15:08:03,White,Woman,I DON'T KNOW,C:/Users/Laptop4/Desktop/OpenDays2017/subject-161.csv,"NO, I have not met this person before",49104,161,"NO, I did not suspect that I may be asked to identify this person later",keep,2,1,present,live,dk,young,4,7,Feb-15,2,a,a,incorrect,non-chooser,miss
51 - 55,2,5,02/15/17 15:20:55,White,Woman,I DON'T KNOW,C:/Users/Laptop4/Desktop/OpenDays2017/subject-162.csv,"NO, I have not met this person before",26614,162,"YES, I suspected that I may be asked to identify this person later",keep,2,1,present,live,dk,old,2,5,Feb-15,2,a,a,incorrect,non-chooser,miss
46 - 50,2,7 Very confident,02/15/17 14:28:34,Mixed,Man,I DON'T KNOW,C:/Users/Laptop10/Desktop/OpenDays2017/subject-6.csv,"NO, I have not met this person before",16866,6,"NO, I did not suspect that I may be asked to identify this person later",keep,2,2,absent,live,dk,old,2,7,Feb-15,2,a,b,incorrect,non-chooser,correct.rejection
15 - 20,4,4,02/15/17 14:31:55,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-7.csv,"NO, I have not met this person before",33847,7,"NO, I did not suspect that I may be asked to identify this person later",keep,2,3,absent,live,rejection,young,4,4,Feb-15,2,a,c,correct,non-chooser,correct.rejection
51 - 55,1 Not at all anxious,7 Very confident,02/15/17 14:38:21,White,Man,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-8.csv,"NO, I have not met this person before",40039,8,"NO, I did not suspect that I may be asked to identify this person later",keep,2,3,absent,live,rejection,old,1,7,Feb-15,2,a,c,correct,non-chooser,correct.rejection
46 - 50,2,3,02/15/17 14:44:57,White,Man,I DON'T KNOW,C:/Users/Laptop10/Desktop/OpenDays2017/subject-9.csv,"NO, I have not met this person before",52860,9,"NO, I did not suspect that I may be asked to identify this person later",keep,2,3,absent,live,dk,old,2,3,Feb-15,2,a,c,incorrect,non-chooser,correct.rejection
15 - 20,3,5,02/22/17 14:30:11,White,Woman,I DON'T KNOW,C:/Users/Laptop4/Desktop/OpenDays2017/subject-16.csv,"NO, I have not met this person before",68706,16,"NO, I did not suspect that I may be asked to identify this person later",keep,3,2,absent,live,dk,young,3,5,Feb-22,3,c,b,incorrect,non-chooser,correct.rejection
41 - 45,7 Very anxious,5,02/22/17 14:34:20,White,Woman,"YES, I believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-163.csv,"NO, I have not met this person before",57375,163,"YES, I suspected that I may be asked to identify this person later",keep,3,1,present,live,identification,old,7,5,Feb-22,3,c,c,correct,chooser,hit
56 - 60,2,5,02/22/17 14:42:03,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-164.csv,"NO, I have not met this person before",39275,164,"NO, I did not suspect that I may be asked to identify this person later",keep,3,1,present,live,rejection,old,2,5,Feb-22,3,c,c,incorrect,non-chooser,miss
51 - 55,1 Not at all anxious,5,02/22/17 14:49:59,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-165.csv,"NO, I have not met this person before",34521,165,"NO, I did not suspect that I may be asked to identify this person later",keep,3,1,present,live,rejection,old,1,5,Feb-22,3,c,c,incorrect,non-chooser,miss
51 - 55,2,6,02/22/17 14:57:58,White,Man,"YES, I believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-166.csv,"NO, I have not met this person before",21721,166,"NO, I did not suspect that I may be asked to identify this person later",keep,3,1,present,live,identification,old,2,6,Feb-22,3,c,c,correct,chooser,hit
15 - 20,no,5,02/22/17 15:05:50,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-167.csv,"NO, I have not met this person before",53039,167,"NO, I did not suspect that I may be asked to identify this person later",keep,3,1,present,live,rejection,young,NA,5,Feb-22,3,c,c,incorrect,non-chooser,miss
36 - 40,3,4,02/22/17 14:39:55,Asian,Woman,"NO, I do not believe that was the person",C:/Users/Laptop4/Desktop/OpenDays2017/subject-17.csv,"NO, I have not met this person before",57568,17,"NO, I did not suspect that I may be asked to identify this person later",keep,3,3,absent,live,rejection,old,3,4,Feb-22,3,c,a,correct,non-chooser,correct.rejection
41 - 45,6,3,02/22/17 14:49:49,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop4/Desktop/OpenDays2017/subject-18.csv,"NO, I have not met this person before",49296,18,"NO, I did not suspect that I may be asked to identify this person later",keep,3,3,absent,live,rejection,old,6,3,Feb-22,3,c,a,correct,non-chooser,correct.rejection
15 - 20,5,4,02/22/17 15:05:26,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop4/Desktop/OpenDays2017/subject-19.csv,"NO, I have not met this person before",10044,19,"NO, I did not suspect that I may be asked to identify this person later",keep,3,3,absent,live,rejection,young,5,4,Feb-22,3,c,a,correct,non-chooser,correct.rejection
15 - 20,3,6,02/22/17 15:08:29,Asian,Man,"NO, I do not believe that was the person",C:/Users/Laptop4/Desktop/OpenDays2017/subject-20.csv,"NO, I have not met this person before",41553,20,"NO, I did not suspect that I may be asked to identify this person later",keep,3,2,absent,live,rejection,young,3,6,Feb-22,3,c,b,correct,non-chooser,correct.rejection
56 - 60,1 Not at all anxious,2,02/22/17 15:15:48,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop4/Desktop/OpenDays2017/subject-21.csv,"NO, I have not met this person before",61333,21,"NO, I did not suspect that I may be asked to identify this person later",keep,3,3,absent,live,rejection,old,1,2,Feb-22,3,c,a,correct,non-chooser,correct.rejection
15 - 20,6,3,03/08/2017 14:41,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-168.csv,"NO, I have not met this person before",41023,168,"NO, I did not suspect that I may be asked to identify this person later",keep,4,1,present,live,rejection,young,6,3,03-Aug,4,c,c,incorrect,non-chooser,miss
21 - 25,2,6,03/08/2017 14:48,White,Man,"YES, I believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-169.csv,"NO, I have not met this person before",4238,169,"NO, I did not suspect that I may be asked to identify this person later",keep,4,1,present,live,identification,young,2,6,03-Aug,4,c,c,correct,chooser,hit
51 - 55,1 Not at all anxious,4,03/08/2017 15:09,White,Man,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-170.csv,"NO, I have not met this person before",36252,170,"NO, I did not suspect that I may be asked to identify this person later",keep,4,1,present,live,rejection,old,1,4,03-Aug,4,c,c,incorrect,non-chooser,miss
51 - 55,3,5,03/08/2017 14:36,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop4/Desktop/OpenDays2017/subject-22.csv,"NO, I have not met this person before",62653,22,"NO, I did not suspect that I may be asked to identify this person later",keep,4,2,absent,live,rejection,old,3,5,03-Aug,4,c,b,correct,non-chooser,correct.rejection
46 - 50,5,5,03/08/2017 14:42,White,Man,"NO, I do not believe that was the person",C:/Users/Laptop4/Desktop/OpenDays2017/subject-23.csv,"NO, I have not met this person before",49217,23,"NO, I did not suspect that I may be asked to identify this person later",keep,4,2,absent,live,rejection,old,5,5,03-Aug,4,c,b,correct,non-chooser,correct.rejection
61 - 65,1 Not at all anxious,7 Very confident,03/08/2017 15:05,White,Man,"YES, I believe that was the person",C:/Users/Laptop4/Desktop/OpenDays2017/subject-24.csv,"NO, I have not met this person before",4041,24,"YES, I suspected that I may be asked to identify this person later",keep,4,2,absent,live,identification,old,1,7,03-Aug,4,c,b,incorrect,chooser,false.alarm
15 - 20,5,5,03/15/17 14:29:10,White,Woman,"YES, I believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-171.csv,"NO, I have not met this person before",39346,171,"NO, I did not suspect that I may be asked to identify this person later",keep,5,1,present,live,identification,young,5,5,Mar-15,5,d,d,correct,chooser,hit
46 - 50,1 Not at all anxious,7 Very confident,03/15/17 14:35:54,White,Man,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-172.csv,"NO, I have not met this person before",23042,172,"NO, I did not suspect that I may be asked to identify this person later",keep,5,1,present,live,rejection,old,1,7,Mar-15,5,d,d,incorrect,non-chooser,miss
51 - 55,1 Not at all anxious,6,03/15/17 14:41:44,White,Woman,"YES, I believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-173.csv,"NO, I have not met this person before",25469,173,"NO, I did not suspect that I may be asked to identify this person later",keep,5,1,present,live,identification,old,1,6,Mar-15,5,d,d,correct,chooser,hit
46 - 50,5,3,03/15/17 14:54:34,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-175.csv,"NO, I have not met this person before",20550,175,"NO, I did not suspect that I may be asked to identify this person later",keep,5,1,present,live,rejection,old,5,3,Mar-15,5,d,d,incorrect,non-chooser,miss
46 - 50,6,5,03/15/17 15:00:45,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-176.csv,"NO, I have not met this person before",35024,176,"NO, I did not suspect that I may be asked to identify this person later",keep,5,1,present,live,rejection,old,6,5,Mar-15,5,d,d,incorrect,non-chooser,miss
15 - 20,2,4,03/15/17 15:06:48,White,Woman,"YES, I believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-177.csv,"NO, I have not met this person before",73615,177,"YES, I suspected that I may be asked to identify this person later",keep,5,1,present,live,identification,young,2,4,Mar-15,5,d,d,correct,chooser,hit
56 - 60,2,7 Very confident,03/15/17 15:13:15,White,Woman,"YES, I believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-178.csv,"NO, I have not met this person before",13624,178,"NO, I did not suspect that I may be asked to identify this person later",keep,5,1,present,live,identification,old,2,7,Mar-15,5,d,d,correct,chooser,hit
15 - 20,5,5,03/15/17 15:38:13,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-179.csv,"NO, I have not met this person before",18350,179,"NO, I did not suspect that I may be asked to identify this person later",keep,5,1,present,live,rejection,young,5,5,Mar-15,5,d,d,incorrect,non-chooser,miss
15 - 20,2,6,03/15/17 15:41:49,White,Man,"YES, I believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-180.csv,"NO, I have not met this person before",16855,180,"NO, I did not suspect that I may be asked to identify this person later",keep,5,1,present,live,identification,young,2,6,Mar-15,5,d,d,correct,chooser,hit
15 - 20,6,4,03/15/17 15:46:00,White,Other,"YES, I believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-181.csv,"NO, I have not met this person before",113162,181,"NO, I did not suspect that I may be asked to identify this person later",keep,5,1,present,live,identification,young,6,4,Mar-15,5,d,d,correct,chooser,hit
15 - 20,3,4,03/18/17 12:10:35,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop5/Desktop/SuperSaturday/subject-182.csv,"NO, I have not met this person before",23188,182,"NO, I did not suspect that I may be asked to identify this person later",keep,6,1,present,live,rejection,young,3,4,Mar-18,6,g,g,incorrect,non-chooser,miss
21 - 25,2,6,03/18/17 12:18:13,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop5/Desktop/SuperSaturday/subject-183.csv,"NO, I have not met this person before",34452,183,"YES, I suspected that I may be asked to identify this person later",keep,6,1,present,live,rejection,young,2,6,Mar-18,6,g,g,incorrect,non-chooser,miss
66 - 70,5,7 Very confident,03/18/17 12:31:21,White,Man,"NO, I do not believe that was the person",C:/Users/Laptop5/Desktop/SuperSaturday/subject-184.csv,"NO, I have not met this person before",10598,184,"NO, I did not suspect that I may be asked to identify this person later",keep,6,1,present,live,rejection,old,5,7,Mar-18,6,g,g,incorrect,non-chooser,miss
41 - 45,6,6,03/18/17 13:08:29,White,Woman,"YES, I believe that was the person",C:/Users/Laptop5/Desktop/SuperSaturday/subject-185.csv,"NO, I have not met this person before",4728,185,"YES, I suspected that I may be asked to identify this person later",keep,7,1,present,live,identification,old,6,6,Mar-18,6,g,g,correct,chooser,hit
15 - 20,4,2,03/18/17 13:16:19,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop5/Desktop/SuperSaturday/subject-186.csv,"NO, I have not met this person before",25884,186,"NO, I did not suspect that I may be asked to identify this person later",keep,7,1,present,live,rejection,young,4,2,Mar-18,6,g,g,incorrect,non-chooser,miss
15 - 20,3,5,03/18/17 14:10:33,White,Man,"NO, I do not believe that was the person",C:/Users/Laptop5/Desktop/SuperSaturday/subject-187.csv,"NO, I have not met this person before",8827,187,"NO, I did not suspect that I may be asked to identify this person later",keep,8,1,present,live,rejection,young,3,5,Mar-18,6,g,g,incorrect,non-chooser,miss
15 - 20,6,6,03/18/17 14:17:49,White,Man,"YES, I believe that was the person",C:/Users/Laptop5/Desktop/SuperSaturday/subject-188.csv,"NO, I have not met this person before",60907,188,"YES, I suspected that I may be asked to identify this person later",keep,9,1,present,live,identification,young,6,6,Mar-18,6,g,g,correct,chooser,hit
51 - 55,5,5,03/18/17 14:26:24,White,Woman,"YES, I believe that was the person",C:/Users/Laptop5/Desktop/SuperSaturday/subject-189.csv,"NO, I have not met this person before",17238,189,"NO, I did not suspect that I may be asked to identify this person later",keep,8,1,present,live,identification,old,5,5,Mar-18,6,g,g,correct,chooser,hit
66 - 70,2,5,03/18/17 12:09:51,White,Woman,"NO, I do not believe that was the person",C:/Users/TECHS4/Desktop/SuperSaturday/subject-25.csv,"NO, I have not met this person before",26183,25,"NO, I did not suspect that I may be asked to identify this person later",keep,6,2,absent,live,rejection,old,2,5,Mar-18,6,g,h,correct,non-chooser,correct.rejection
66 - 70,1 Not at all anxious,7 Very confident,03/18/17 12:17:47,White,Man,"NO, I do not believe that was the person",C:/Users/TECHS4/Desktop/SuperSaturday/subject-26.csv,"NO, I have not met this person before",22538,26,"NO, I did not suspect that I may be asked to identify this person later",keep,6,3,absent,live,rejection,old,1,7,Mar-18,6,g,f,correct,non-chooser,correct.rejection
56 - 60,4,6,03/18/17 12:22:14,White,Woman,"NO, I do not believe that was the person",C:/Users/TECHS4/Desktop/SuperSaturday/subject-27.csv,"NO, I have not met this person before",24874,27,"NO, I did not suspect that I may be asked to identify this person later",keep,6,3,absent,live,rejection,old,4,6,Mar-18,6,g,f,correct,non-chooser,correct.rejection
46 - 50,2,5,03/18/17 12:34:16,White,Man,"NO, I do not believe that was the person",C:/Users/TECHS4/Desktop/SuperSaturday/subject-28.csv,"NO, I have not met this person before",45890,28,"NO, I did not suspect that I may be asked to identify this person later",keep,7,3,absent,live,rejection,old,2,5,Mar-18,6,g,f,correct,non-chooser,correct.rejection
21 - 25,1 Not at all anxious,7 Very confident,03/18/17 13:12:19,White,Woman,"NO, I do not believe that was the person",C:/Users/TECHS4/Desktop/SuperSaturday/subject-29.csv,"NO, I have not met this person before",34448,29,"NO, I did not suspect that I may be asked to identify this person later",keep,7,2,absent,live,rejection,young,1,7,Mar-18,6,g,h,correct,non-chooser,correct.rejection
15 - 20,2,4,03/18/17 14:26:03,White,Woman,"NO, I do not believe that was the person",C:/Users/TECHS4/Desktop/SuperSaturday/subject-32.csv,"NO, I have not met this person before",45298,32,"NO, I did not suspect that I may be asked to identify this person later",keep,9,2,absent,live,rejection,young,2,4,Mar-18,6,g,h,correct,non-chooser,correct.rejection
51 - 55,2,7 Very confident,03/22/17 14:40:49,White,Man,"YES, I believe that was the person",C:/Users/Laptop5/Desktop/OpenDays/subject-190.csv,"NO, I have not met this person before",20816,190,"NO, I did not suspect that I may be asked to identify this person later",keep,11,1,present,live,identification,old,2,7,Mar-22,7,h,h,correct,chooser,hit
51 - 55,1 Not at all anxious,6,03/22/17 15:32:08,White,Man,"YES, I believe that was the person",C:/Users/Laptop5/Desktop/OpenDays/subject-191.csv,"NO, I have not met this person before",40240,191,"NO, I did not suspect that I may be asked to identify this person later",keep,11,1,present,live,identification,old,1,6,Mar-22,7,h,h,correct,chooser,hit
15 - 20,3,6,03/22/17 15:46:29,White,Man,"YES, I believe that was the person",C:/Users/Laptop5/Desktop/OpenDays/subject-193.csv,"NO, I have not met this person before",17655,193,"NO, I did not suspect that I may be asked to identify this person later",keep,11,1,present,live,identification,young,3,6,Mar-22,7,h,h,correct,chooser,hit
15 - 20,1 Not at all anxious,7 Very confident,03/22/17 14:33:55,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-34.csv,"NO, I have not met this person before",44846,34,"NO, I did not suspect that I may be asked to identify this person later",keep,11,3,absent,live,rejection,young,1,7,Mar-22,7,h,f,correct,non-chooser,correct.rejection
21 - 25,3,4,03/22/17 14:40:13,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-35.csv,"NO, I have not met this person before",24920,35,"NO, I did not suspect that I may be asked to identify this person later",keep,11,2,absent,live,rejection,young,3,4,Mar-22,7,h,g,correct,non-chooser,correct.rejection
66 - 70,2,3,03/22/17 14:46:18,White,Man,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-36.csv,"NO, I have not met this person before",17312,36,"NO, I did not suspect that I may be asked to identify this person later",keep,11,3,absent,live,rejection,old,2,3,Mar-22,7,h,f,correct,non-chooser,correct.rejection
15 - 20,3,5,03/22/17 14:54:31,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-37.csv,"NO, I have not met this person before",46403,37,"NO, I did not suspect that I may be asked to identify this person later",keep,11,3,absent,live,rejection,young,3,5,Mar-22,7,h,f,correct,non-chooser,correct.rejection
15 - 20,2,6,03/22/17 15:04:08,Asian,Woman,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-38.csv,"NO, I have not met this person before",14934,38,"NO, I did not suspect that I may be asked to identify this person later",keep,11,3,absent,live,rejection,young,2,6,Mar-22,7,h,f,correct,non-chooser,correct.rejection
15 - 20,1 Not at all anxious,7 Very confident,03/22/17 15:07:48,Asian,Woman,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-39.csv,"NO, I have not met this person before",16492,39,"NO, I did not suspect that I may be asked to identify this person later",keep,11,2,absent,live,rejection,young,1,7,Mar-22,7,h,g,correct,non-chooser,correct.rejection
41 - 45,1 Not at all anxious,7 Very confident,03/22/17 15:13:52,White,Man,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-40.csv,"NO, I have not met this person before",13828,40,"NO, I did not suspect that I may be asked to identify this person later",keep,11,3,absent,live,rejection,old,1,7,Mar-22,7,h,f,correct,non-chooser,correct.rejection
15 - 20,1 Not at all anxious,6,03/22/17 15:45:34,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-41.csv,"NO, I have not met this person before",13963,41,"NO, I did not suspect that I may be asked to identify this person later",keep,11,2,absent,live,rejection,young,1,6,Mar-22,7,h,g,correct,non-chooser,correct.rejection
15 - 20,1 Not at all anxious,6,03/24/17 10:54:59,White,Woman,"YES, I believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-194.csv,"NO, I have not met this person before",32221,194,"NO, I did not suspect that I may be asked to identify this person later",keep,12,1,present,live,identification,young,1,6,Mar-24,8,i,i,correct,chooser,hit
15 - 20,2,6,03/24/17 11:01:32,White,Man,"YES, I believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-195.csv,"NO, I have not met this person before",24421,195,"NO, I did not suspect that I may be asked to identify this person later",keep,12,1,present,live,identification,young,2,6,Mar-24,8,i,i,correct,chooser,hit
15 - 20,no,5,03/24/17 11:07:50,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-196.csv,"NO, I have not met this person before",38079,196,"YES, I suspected that I may be asked to identify this person later",keep,12,1,present,live,rejection,young,NA,5,Mar-24,8,i,i,incorrect,non-chooser,miss
15 - 20,4,5,03/24/17 11:14:16,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop10/Desktop/OpenDays2017/subject-197.csv,"NO, I have not met this person before",36145,197,"NO, I did not suspect that I may be asked to identify this person later",keep,12,1,present,live,rejection,young,4,5,Mar-24,8,i,i,incorrect,non-chooser,miss
15 - 20,2,5,03/24/17 10:55:58,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop9/Desktop/OpenDays2017/subject-42.csv,"NO, I have not met this person before",35691,42,"NO, I did not suspect that I may be asked to identify this person later",keep,12,2,absent,live,rejection,young,2,5,Mar-24,8,i,g,correct,non-chooser,correct.rejection
15 - 20,2,7 Very confident,03/24/17 11:02:19,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop9/Desktop/OpenDays2017/subject-43.csv,"NO, I have not met this person before",13239,43,"NO, I did not suspect that I may be asked to identify this person later",keep,12,2,absent,live,rejection,young,2,7,Mar-24,8,i,g,correct,non-chooser,correct.rejection
15 - 20,2,7 Very confident,03/24/17 11:07:24,White,Woman,"NO, I do not believe that was the person",C:/Users/Laptop9/Desktop/OpenDays2017/subject-44.csv,"NO, I have not met this person before",11610,44,"YES, I suspected that I may be asked to identify this person later",keep,12,3,absent,live,rejection,young,2,7,Mar-24,8,i,f,correct,non-chooser,correct.rejection
