"confidence_immediate","identification","condition","gender_updated","target_correct","target_pair","identification_decision","not_sure_decision","repetition_numeric","unique_decision","pre_conf","row","ppt_gender","age","ethnicity","post_conf","comfort","face","height","posture","body","movement","behaviour","ID_testify","ID_closest","ID_justRecognized","ID_lookedLike","ID_wouldNotPick","nonID_sure","nonID_noMemory","nonID_seeOthersFirst","nonID_lookedLike","nonID_wouldID","ID","choosing","accuracy","person"
"no","Not sure","HS","male","absent","b","rejection","filler",0,"rejection",70,"middle","woman","41","white",70,100,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,"9HS1","non-chooser","correct",3
"30","Yes","live","female","present","b","filler","other",0,"identification",50,"back","woman","17","mixed",30,90,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"9live1","chooser","incorrect",3
"60","Yes","live","male","absent","b","innocent","other",1,"identification",40,"back","woman","17","mixed",40,90,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"9live1","chooser","incorrect",6
"no","Not sure","FB","female","present","b","rejection","target",0,"not sure",50,"back","woman","17","black",60,70,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,"10FB1","non-chooser","incorrect",7
"no","Not sure","FB","male","absent","b","rejection","filler",0,"rejection",30,"back","woman","17","black",30,50,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,"10FB1","non-chooser","correct",4
"no","No","HS","male","absent","b","rejection","other",0,"rejection",70,"middle","man","43","white",90,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"10HS1","non-chooser","correct",3
"no","Not sure","live","female","absent","b","rejection","innocent",0,"not sure",40,"back","woman","17","white",30,100,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"10live1","non-chooser","correct",6
"40","Yes","live","male","present","b","target","other",0,"identification",50,"back","woman","17","white",40,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"10live1","chooser","correct",7
"no","Not sure","FB","female","absent","b","rejection","filler",0,"rejection",30,"back","woman","54","white",30,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11FB1","non-chooser","correct",1
"50","Yes","FB","male","present","b","target","other",0,"identification",30,"back","woman","54","white",80,100,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,"11FB1","chooser","correct",7
"no","Not sure","HS","female","absent","b","rejection","filler",0,"rejection",60,"middle","woman","44","white",40,70,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"11HS1","non-chooser","correct",2
"50","Yes","HS","male","present","b","filler","other",0,"identification",50,"middle","woman","44","white",30,70,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"11HS1","chooser","incorrect",1
"no","No","live","female","present","b","rejection","other",0,"rejection",40,"middle","woman","17","white",30,60,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"11live1","non-chooser","incorrect",5
"70","Yes","live","male","absent","b","filler","other",0,"identification",70,"middle","woman","17","white",70,50,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"11live1","chooser","incorrect",4
"no","Not sure","FB","female","absent","b","rejection","filler",0,"rejection",70,"back","woman","17","white",30,60,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"12FB1","non-chooser","correct",4
"70","Yes","FB","male","present","b","target","other",0,"identification",60,"back","woman","17","white",70,50,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"12FB1","chooser","correct",7
"60","Yes","HS","female","present","b","target","other",0,"identification",60,"back","man","56","white",60,60,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"12HS1","chooser","correct",7
"no","Not sure","HS","male","absent","b","rejection","filler",0,"rejection",80,"back","man","56","white",80,60,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"12HS1","non-chooser","correct",1
"no","No","live","female","absent","b","rejection","other",0,"rejection",70,"front","woman","17","white",50,100,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"12live1","non-chooser","correct",4
"no","No","live","male","present","b","rejection","other",0,"rejection",60,"front","woman","17","white",50,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"12live1","non-chooser","incorrect",1
"no","Not sure","FB","female","present","b","rejection","target",0,"not sure",90,"front","woman","16","black",80,80,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"13FB1","non-chooser","incorrect",7
"70","Yes","FB","male","absent","b","filler","other",1,"identification",70,"front","woman","16","black",60,60,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"13FB1","chooser","incorrect",3
"no","Not sure","HS","female","absent","b","rejection","filler",0,"rejection",30,"back","woman","18","white",30,50,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"13HS1","non-chooser","correct",1
"no","No","HS","male","present","b","rejection","other",0,"rejection",60,"back","woman","18","white",70,50,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"13HS1","non-chooser","incorrect",5
"60","Yes","live","female","present","b","filler","other",0,"identification",70,"back","man","48","white",50,50,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"13live1","chooser","incorrect",1
"80","Yes","live","male","absent","b","filler","other",0,"identification",80,"back","man","48","white",60,50,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"13live1","chooser","incorrect",1
"100","Yes","FB","female","present","b","target","other",0,"identification",90,"front","woman","17","",100,100,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"14FB1","chooser","correct",7
"100","Yes","FB","male","absent","b","innocent","other",0,"identification",70,"front","woman","17","",100,100,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"14FB1","chooser","incorrect",6
"50","Yes","HS","male","absent","b","filler","other",1,"identification",80,"front","woman","48","black",40,40,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,"14HS1","chooser","incorrect",1
"50","Yes","live","female","absent","b","filler","other",1,"identification",60,"back","woman","17","mixed",40,60,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"14live1","chooser","incorrect",1
"50","Yes","live","male","present","b","target","other",1,"identification",60,"back","woman","17","mixed",60,70,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"14live1","chooser","correct",7
"no","Not sure","FB","female","absent","b","rejection","filler",0,"rejection",30,"front","woman","53","white",0,70,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"15FB1","non-chooser","correct",5
"100","Yes","live","female","present","b","target","other",1,"identification",80,"front","woman","51","white",80,90,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"15live1","chooser","correct",7
"no","Not sure","live","male","absent","b","rejection","filler",0,"rejection",20,"front","woman","51","white",10,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"15live1","non-chooser","correct",3
"no","No","FB","female","present","b","rejection","other",0,"rejection",50,"back","woman","18","",10,40,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"16FB1","non-chooser","incorrect",4
"no","No","FB","male","absent","b","rejection","other",0,"rejection",30,"back","woman","18","",30,30,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"16FB1","non-chooser","correct",5
"40","Yes","HS","female","absent","b","filler","other",0,"identification",70,"back","woman","52","white",70,70,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"16HS1","chooser","incorrect",4
"80","Yes","HS","male","present","b","target","other",0,"identification",60,"back","woman","52","white",50,50,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"16HS1","chooser","correct",7
"no","Not sure","live","female","absent","a","rejection","filler",0,"rejection",70,"front","woman","47","white",0,90,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,"16live1","non-chooser","correct",4
"no","No","live","male","present","a","rejection","other",0,"rejection",30,"front","woman","47","white",100,100,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"16live1","non-chooser","incorrect",1
"60","Yes","FB","female","absent","b","filler","other",0,"identification",50,"back","woman","17","white",60,80,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"17FB1","chooser","incorrect",1
"60","Yes","FB","male","present","b","filler","other",1,"identification",40,"back","woman","17","white",70,80,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,"17FB1","chooser","incorrect",3
"70","Yes","HS","female","absent","b","filler","other",1,"identification",90,"back","woman","51","white",60,80,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"17HS1","chooser","incorrect",5
"90","Yes","HS","male","present","b","filler","other",0,"identification",80,"back","woman","51","white",80,80,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"17HS1","chooser","incorrect",5
"70","Yes","live","female","absent","a","filler","other",2,"identification",50,"front","woman","43","white",70,70,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"17live1","chooser","incorrect",4
"60","Yes","live","male","present","a","filler","other",0,"identification",70,"front","woman","43","white",50,70,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"17live1","chooser","incorrect",1
"40","Yes","FB","female","present","b","target","other",0,"identification",80,"front","woman","17","white",60,80,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"18FB1","chooser","correct",7
"no","No","FB","male","absent","b","rejection","other",0,"rejection",50,"front","woman","17","white",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18FB1","non-chooser","correct",2
"no","No","HS","female","present","b","rejection","other",1,"rejection",60,"back","man","56","white",60,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"18HS1","non-chooser","incorrect",2
"70","Yes","HS","male","absent","b","innocent","other",2,"identification",60,"back","man","56","white",70,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"18HS1","chooser","incorrect",6
"no","No","live","female","present","a","rejection","other",0,"rejection",60,"front","woman","18","white",50,60,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"18live1","non-chooser","incorrect",5
"70","Yes","live","male","absent","a","filler","other",0,"identification",30,"front","woman","18","white",70,80,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"18live1","chooser","incorrect",3
"80","Yes","FB","female","absent","b","filler","other",1,"identification",60,"back","woman","56","white",80,70,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,"19FB1","chooser","incorrect",5
"no","No","FB","male","present","b","rejection","other",1,"rejection",50,"back","woman","56","white",60,50,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,"19FB1","non-chooser","incorrect",1
"no","Not sure","HS","female","present","a","rejection","filler",0,"rejection",80,"front","woman","17","white",70,90,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,"19HS1","non-chooser","incorrect",1
"no","No","HS","male","absent","a","rejection","other",0,"rejection",80,"front","woman","17","white",60,90,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,"19HS1","non-chooser","correct",5
"60","Yes","live","female","present","a","target","other",0,"identification",100,"front","woman","51","white",60,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19live1","chooser","correct",6
"60","Yes","FB","female","present","a","target","other",0,"identification",90,"front","woman","17","white",70,70,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"20FB1","chooser","correct",6
"no","No","FB","male","absent","a","rejection","other",0,"rejection",80,"front","woman","17","white",0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20FB1","non-chooser","correct",3
"50","Yes","HS","female","absent","b","filler","other",0,"identification",90,"front","woman","17","white",50,70,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"20HS1","chooser","incorrect",5
"no","Not sure","HS","male","present","b","rejection","target",0,"not sure",90,"front","woman","17","white",50,60,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"20HS1","non-chooser","incorrect",7
"60","Yes","live","female","present","a","target","other",0,"identification",90,"front","woman","53","white",60,80,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,"20live1","chooser","correct",6
"no","Not sure","live","male","absent","a","rejection","innocent",0,"not sure",70,"front","woman","53","white",40,80,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"20live1","non-chooser","correct",7
"90","Yes","FB","female","present","a","target","other",0,"identification",90,"front","woman","42","white",90,100,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"21FB1","chooser","correct",6
"90","Yes","HS","female","absent","a","filler","other",0,"identification",50,"front","man","49","white",90,70,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"21HS1","chooser","incorrect",5
"50","Yes","HS","male","present","a","filler","other",1,"identification",70,"front","man","49","white",50,50,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"21HS1","chooser","incorrect",1
"no","Not sure","live","female","absent","a","rejection","innocent",0,"not sure",50,"back","woman","45","white",40,100,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,"21live1","non-chooser","correct",7
"no","Not sure","live","male","present","a","rejection","target",0,"not sure",50,"back","woman","45","white",40,100,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,"21live1","non-chooser","incorrect",6
"no","Not sure","FB","female","absent","a","rejection","innocent",0,"not sure",60,"front","woman","49","white",50,50,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"22FB1","non-chooser","correct",7
"no","Not sure","FB","male","present","a","rejection","target",0,"not sure",50,"front","woman","49","white",50,50,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"22FB1","non-chooser","incorrect",6
"80","Yes","HS","female","absent","a","innocent","other",1,"identification",90,"front","woman","30","white",90,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"22HS1","chooser","incorrect",7
"no","Not sure","HS","male","present","a","rejection","target",0,"not sure",90,"front","woman","30","white",50,100,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"22HS1","non-chooser","incorrect",6
"no","No","live","female","absent","a","rejection","other",0,"rejection",50,"back","woman","17","white",40,80,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,"22live1","non-chooser","correct",5
"no","No","live","male","present","a","rejection","other",0,"rejection",50,"back","woman","17","white",90,80,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,"22live1","non-chooser","incorrect",2
"no","Not sure","FB","female","present","a","rejection","target",1,"not sure",50,"back","woman","17","white",60,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"23FB1","non-chooser","incorrect",6
"no","No","FB","male","absent","a","rejection","other",0,"rejection",50,"back","woman","17","white",60,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"23FB1","non-chooser","correct",5
"80","Yes","HS","female","present","a","target","other",1,"identification",70,"middle","man","19","white",70,100,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"23HS1","chooser","correct",6
"no","No","HS","male","absent","a","rejection","other",0,"rejection",80,"middle","man","19","white",80,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"23HS1","non-chooser","correct",1
"60","Yes","live","female","present","a","filler","other",1,"identification",60,"back","man","55","white",70,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"23live1","chooser","incorrect",4
"no","Not sure","live","male","absent","a","rejection","innocent",0,"not sure",60,"back","man","55","white",50,100,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"23live1","non-chooser","correct",7
"90","Yes","FB","female","present","a","target","other",0,"identification",100,"front","woman","17","white",100,80,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"24FB1","chooser","correct",6
"no","No","FB","male","absent","a","rejection","other",0,"rejection",90,"front","woman","17","white",80,80,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,"24FB1","non-chooser","correct",1
"no","Not sure","HS","female","absent","a","rejection","innocent",0,"not sure",40,"back","woman","17","white",10,90,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"24HS1","non-chooser","correct",7
"70","Yes","HS","male","present","a","target","other",0,"identification",20,"back","woman","17","white",80,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"24HS1","chooser","correct",6
"60","Yes","live","female","present","a","filler","other",0,"identification",90,"front","woman","17","white",80,100,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"24live1","chooser","incorrect",5
"70","Yes","live","male","absent","a","filler","other",0,"identification",70,"front","woman","17","white",80,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"24live1","chooser","incorrect",5
"80","Yes","FB","male","present","a","target","other",0,"identification",60,"middle","woman","17","white",80,80,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"25FB1","chooser","correct",6
"70","Yes","HS","female","absent","a","innocent","other",1,"identification",70,"middle","woman","51","white",70,70,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"25HS1","chooser","incorrect",7
"70","Yes","HS","male","present","a","target","other",1,"identification",80,"middle","woman","51","white",70,70,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"25HS1","chooser","correct",6
"no","Not sure","live","female","absent","a","rejection","innocent",0,"not sure",70,"back","woman","44","white",20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"25live1","non-chooser","correct",7
"70","Yes","live","male","present","a","filler","other",0,"identification",50,"back","woman","44","white",70,50,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"25live1","chooser","incorrect",2
"90","Yes","FB","female","absent","a","filler","other",0,"identification",100,"back","woman","49","white",90,70,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"26FB1","chooser","incorrect",2
"no","Not sure","FB","male","present","a","rejection","filler",1,"rejection",90,"back","woman","49","white",70,70,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"26FB1","non-chooser","incorrect",5
"70","Yes","HS","male","present","a","target","other",0,"identification",80,"back","man","18","white",70,70,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"26HS1","chooser","correct",6
"no","No","live","female","absent","a","rejection","other",0,"rejection",50,"back","man","46","white",50,80,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"26live1","non-chooser","correct",3
"no","No","live","male","present","a","rejection","other",0,"rejection",30,"back","man","46","white",40,80,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"26live1","non-chooser","incorrect",3
"80","Yes","FB","female","present","a","filler","other",1,"identification",90,"middle","man","63","white",80,80,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,"27FB1","chooser","incorrect",5
"80","Yes","FB","male","absent","a","innocent","other",1,"identification",80,"middle","man","63","white",80,80,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,"27FB1","chooser","incorrect",7
