SubjectId,Subject ID code randomly assigned by computer programme.,,,,
MouseMovements,"Subject's mouse movements (interactivity data), when presented with the interactive lineup, in the form =[[a,b,c],[a,b,c].... , where a= the location of the lineup member in the lineup array that the subject clicked on to rotate (1 =  top left, 2 = top middle, 3 = top right, 4 = bottom left, 5 = bottom middle, 6 = bottom right); b = the facial region that was entered when the lineup face was moved (0 = lineup member's left profile, to 17 = lineup member's front profile, to 35 = lineup member's right profile); and c = time when the lineup face entered a new region (timed in ms, since the lineup faces appeared on screen).",,,,
MouseMovements2,"Subject's mouse movements (interactivity data), overflow. When the MouseMovement cell is full of data, data is recorded in this overflow column.",,,,
Total Interaction Time,"Researchers calculated the total length of time that each subject interacted with the lineup faces (ms), NA = the subject did not interact",,,,
MouseGroup,"Researchers coded subjects into low and high interators, using a median split on 'TotalInteractionTime' in each age group (young, middle, late). Low = interacted less than the median time; High = interacted more that the median time; NA = the subject did not interact.",,,,
ChildAlone,"RAs noted if they believed that the child responded independently (i.e., whether guardian influenced the child's answers). No = guardian was believed to have influenced the child's answers, Yes = guardian did not influence the child's answers",,,,
IncludeFinalSample,Researchers coded. no = removed from the final sample; yes = included in the final sample.,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,Device,Device that the subject used to complete the experiment.,,
,,experimentDuration ,Time taken to complete the whole experiment (ms).,,
,,videoOrder,1 = first video watched; 2 = second video watched.,,
,,treatmentLabel ,Identifcation procedure that the subject saw: Simultaneous showup; Showup.,,
,,videoLabel ,Mock-crime video that the subject watched: graffiti; mugging.,,
,,videoCheck ,"""Did you encounter any technical problems whilst viewing the video? (e.g. wouldn't load, buffering etc.)""",,
,,PreIDconfidence ,"Confidence before identification decision: ""Please rate your confidence that you  would be able to recognize the perpetrator.""",,
,,faceSelected ,"Identification response: ""Is the police suspect (highlighted in red) the person who commited the crime?""",,
,,confidence ,"Confidence in identification decision: ""Please rate your confidence in your decision.""",,
,,attentionCheckSelected ,"Question that enabled us to check that they subjects were paying attention: ÒHow many poeple were in the video that you watched?"" ",,
,,correct,"Researchers coded if faceSelected identifcation response was correct or incorrect. 1 = corrrect, 0 = incorrect",,
,,SaidAbsentOrPresent,Researchers coded faceSelected response - if the subject said the perpetrator was absent or present ,,
,,videoCheck,Researchers coded. 1 = experienced technical problems while watching the video.,,
,,attentionCheck,Researcers coded. 1 = incorrectly answered the attention check question.,,
,,include,Researchers coded. no = removed from the final sample; yes = included in the final sample.,,
