Experiment,idnumber,age,ethnicity,education,gender,condition,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,targetPresent,participantTargetPresent,participantSelection,accuracy,participantIDdecision,accuracyInnocentSupsect,confidence,question1ans_How many people were in the video?,question1acc,include
Exp1,68,34,NULLtive American,4-Year College Degree (BA BS),Male,2,38,97,79,3,94,110,1,1,3,0,Filler ID,NA,70,1,1,yes
Exp1,70,30,WhiteEuropean,4-Year College Degree (BA BS),Female,1,110,66,57,54,3,70,0,0,Not present,1,Correct Reject,NA,70,1,1,yes
Exp1,71,31,Other,Currently Attending College,Female,1,5,54,68,110,41,95,0,0,Not present,1,Correct Reject,NA,100,1,1,yes
Exp1,72,43,WhiteEuropean,Masters Degree,Female,1,88,45,21,110,97,73,0,1,45,0,Filler ID,NA,40,1,1,yes
Exp1,73,41,WhiteEuropean,4-Year College Degree (BA BS),Male,1,76,51,24,69,110,45,0,0,Not present,1,Correct Reject,NA,60,1,1,yes
Exp1,74,20,WhiteEuropean,2-Year College Degree (Associates),Male,1,63,38,48,106,110,82,1,1,110,1,Correct ID,1,100,1,1,yes
Exp1,77,41,AsianIndian,4-Year College Degree (BA BS),Male,2,31,110,23,11,77,92,0,0,Not present,1,Correct Reject,NA,60,1,1,yes
Exp1,78,42,WhiteEuropean,High School/GED,Male,2,96,40,110,18,27,63,0,0,Not present,1,Correct Reject,NA,50,1,1,yes
Exp1,80,28,BlackAfrican,4-Year College Degree (BA BS),Male,2,70,110,76,104,27,87,0,0,Not present,1,Correct Reject,NA,90,4,0,no
Exp1,81,27,WhiteEuropean,Masters Degree,Female,1,78,47,110,19,58,6,0,1,58,0,Filler ID,NA,90,1,1,yes
Exp1,83,29,WhiteEuropean,2-Year College Degree (Associates),Female,1,39,25,110,5,66,48,0,0,Not present,1,Correct Reject,NA,80,1,1,yes
Exp1,84,36,WhiteEuropean,Masters Degree,Female,1,78,75,60,80,49,110,1,1,49,0,Filler ID,NA,80,1,1,yes
Exp1,85,51,NULLtive American,4-Year College Degree (BA BS),Female,1,23,68,86,98,110,35,0,1,98,0,Filler ID,NA,50,1,1,yes
Exp1,86,26,Mixed Ethnicity,4-Year College Degree (BA BS),Male,3,106,81,31,110,102,47,1,1,110,1,Correct ID,1,40,1,1,yes
Exp1,88,49,WhiteEuropean,2-Year College Degree (Associates),Male,1,98,90,110,99,108,100,1,1,110,1,Correct ID,1,90,1,1,yes
Exp1,90,34,WhiteEuropean,High School/GED,Female,1,107,87,20,21,110,32,1,1,110,1,Correct ID,1,60,1,1,yes
Exp1,91,23,WhiteEuropean,2-Year College Degree (Associates),Female,3,37,110,74,4,44,6,0,1,44,0,Filler ID,NA,100,1,1,yes
Exp1,92,26,AsianIndian,4-Year College Degree (BA BS),Male,3,86,36,42,110,30,17,1,1,110,1,Correct ID,1,100,1,1,yes
Exp1,93,33,WhiteEuropean,High School/GED,Female,3,65,64,80,16,110,52,1,1,16,0,Filler ID,NA,70,1,1,yes
Exp1,94,24,WhiteEuropean,4-Year College Degree (BA BS),Male,1,44,5,53,103,110,30,0,1,5,0,Filler ID,NA,60,1,1,yes
Exp1,95,36,LatinHispanic,Masters Degree,Female,3,40,90,110,19,94,106,1,0,Not present,0,Incorrect Reject,NA,80,1,1,yes
Exp1,98,54,WhiteEuropean,Less than High School,Male,1,110,22,31,102,60,19,1,1,110,1,Correct ID,1,70,1,1,yes
Exp1,99,41,LatinHispanic,4-Year College Degree (BA BS),Male,1,85,110,1,46,11,47,0,0,Not present,1,Correct Reject,NA,70,1,1,yes
Exp1,100,24,WhiteEuropean,4-Year College Degree (BA BS),Male,1,106,47,110,3,108,5,0,1,110,0,False ID,0,80,1,1,yes
Exp1,101,48,WhiteEuropean,2-Year College Degree (Associates),Male,3,43,110,78,55,93,62,1,1,110,1,Correct ID,1,50,1,1,yes
Exp1,103,29,WhiteEuropean,4-Year College Degree (BA BS),Male,3,20,98,110,30,15,86,0,1,15,0,Filler ID,NA,60,3,0,no
Exp1,104,29,Mixed Ethnicity,4-Year College Degree (BA BS),Female,1,78,32,83,110,77,30,0,0,Not present,1,Correct Reject,NA,70,1,1,yes
Exp1,105,42,WhiteEuropean,High School/GED,Female,1,6,93,40,51,12,110,0,0,Not present,1,Correct Reject,NA,70,1,1,yes
Exp1,107,45,WhiteEuropean,Masters Degree,Male,3,17,12,69,22,106,110,1,1,110,1,Correct ID,1,60,1,1,yes
Exp1,108,28,WhiteEuropean,4-Year College Degree (BA BS),Male,3,88,58,34,30,110,70,0,1,110,0,False ID,0,50,1,1,yes
Exp1,109,24,WhiteEuropean,Masters Degree,Female,2,1,71,10,90,21,110,0,1,1,0,Filler ID,NA,60,1,1,yes
Exp1,110,27,WhiteEuropean,High School/GED,Male,3,54,110,58,86,57,100,1,1,110,1,Correct ID,1,60,1,1,yes
Exp1,111,29,WhiteEuropean,2-Year College Degree (Associates),Male,1,25,84,75,110,103,22,0,1,75,0,Filler ID,NA,80,1,1,yes
Exp1,112,57,WhiteEuropean,4-Year College Degree (BA BS),Male,1,61,70,79,58,110,38,0,0,Not present,1,Correct Reject,NA,80,1,1,yes
Exp1,113,20,WhiteEuropean,Currently Attending College,Male,2,99,72,14,93,70,110,0,1,72,0,Filler ID,NA,40,2,0,no
Exp1,114,38,WhiteEuropean,High School/GED,Male,2,91,95,13,110,102,72,0,1,102,0,Filler ID,NA,50,1,1,yes
Exp1,116,24,NULLtive American,High School/GED,Male,1,89,51,110,56,82,11,1,1,82,0,Filler ID,NA,100,1,1,yes
Exp1,117,59,WhiteEuropean,2-Year College Degree (Associates),Female,2,2,110,22,77,70,9,1,1,70,0,Filler ID,NA,50,1,1,yes
Exp1,118,22,WhiteEuropean,4-Year College Degree (BA BS),Male,3,100,1,87,110,80,96,1,1,110,1,Correct ID,1,90,1,1,yes
Exp1,119,35,WhiteEuropean,Masters Degree,Male,1,104,74,110,94,56,39,0,0,Not present,1,Correct Reject,NA,30,1,1,yes
Exp1,120,57,WhiteEuropean,4-Year College Degree (BA BS),Female,2,55,50,40,86,110,31,0,0,Not present,1,Correct Reject,NA,90,1,1,yes
Exp1,122,45,AsianIndian,4-Year College Degree (BA BS),Female,3,46,42,110,103,77,54,0,1,42,0,Filler ID,NA,50,1,1,yes
Exp1,125,33,AsianIndian,4-Year College Degree (BA BS),Male,3,110,88,47,74,56,20,0,0,Not present,1,Correct Reject,NA,100,1,1,yes
Exp1,127,43,WhiteEuropean,2-Year College Degree (Associates),Female,2,78,57,110,60,89,47,0,0,Not present,1,Correct Reject,NA,80,1,1,yes
Exp1,129,43,NULLtive American,4-Year College Degree (BA BS),Male,1,91,110,44,21,54,72,1,1,110,1,Correct ID,1,40,1,1,yes
Exp1,133,23,WhiteEuropean,4-Year College Degree (BA BS),Male,3,3,73,51,105,110,99,0,1,3,0,Filler ID,NA,80,1,1,yes
Exp1,134,43,WhiteEuropean,4-Year College Degree (BA BS),Female,1,72,93,105,10,110,96,1,0,Not present,0,Incorrect Reject,NA,40,1,1,yes
Exp1,136,22,AsianIndian,ProfessioNULLl Degree (MD JD),Female,3,110,44,46,77,73,18,1,1,110,1,Correct ID,1,80,1,1,yes
Exp1,137,30,WhiteEuropean,2-Year College Degree (Associates),Male,3,110,6,91,83,20,82,0,0,Not present,1,Correct Reject,NA,50,1,1,yes
Exp1,139,38,WhiteEuropean,High School/GED,Female,3,69,54,110,95,105,66,1,1,110,1,Correct ID,1,80,1,1,yes
Exp1,140,38,WhiteEuropean,2-Year College Degree (Associates),Male,2,65,81,90,110,105,26,0,0,Not present,1,Correct Reject,NA,100,1,1,yes
Exp1,141,50,AsianIndian,4-Year College Degree (BA BS),Female,2,26,25,110,56,60,35,0,0,Not present,1,Correct Reject,NA,100,1,1,yes
Exp1,142,49,WhiteEuropean,2-Year College Degree (Associates),Male,3,47,69,79,110,106,75,0,0,Not present,1,Correct Reject,NA,80,1,1,yes
Exp1,144,25,WhiteEuropean,2-Year College Degree (Associates),Male,2,86,110,39,91,38,5,1,1,110,1,Correct ID,1,90,1,1,yes
Exp1,145,40,WhiteEuropean,4-Year College Degree (BA BS),Female,3,60,39,27,110,50,70,1,1,110,1,Correct ID,1,80,1,1,yes
Exp1,146,24,WhiteEuropean,4-Year College Degree (BA BS),Female,3,84,76,25,68,110,50,1,1,110,1,Correct ID,1,80,1,1,yes
Exp1,147,32,LatinHispanic,High School/GED,Female,2,16,110,69,48,96,63,1,1,110,1,Correct ID,1,80,1,1,yes
Exp1,148,26,BlackAfrican,Currently Attending College,Male,1,110,98,75,24,61,28,0,0,Not present,1,Correct Reject,NA,70,1,1,yes
Exp1,149,30,BlackAfrican,High School/GED,Male,2,25,31,4,16,103,110,0,0,Not present,1,Correct Reject,NA,100,1,1,yes
Exp1,150,28,BlackAfrican,High School/GED,Female,2,3,96,23,108,110,48,0,0,Not present,1,Correct Reject,NA,100,1,1,yes
Exp1,151,30,WhiteEuropean,2-Year College Degree (Associates),Male,2,87,110,100,52,43,79,0,0,Not present,1,Correct Reject,NA,80,3,0,no
Exp1,152,42,BlackAfrican,4-Year College Degree (BA BS),Male,1,28,99,70,110,100,3,1,1,110,1,Correct ID,1,70,1,1,yes
Exp1,153,52,WhiteEuropean,4-Year College Degree (BA BS),Male,3,13,10,82,28,110,33,0,0,Not present,1,Correct Reject,NA,100,1,1,yes
Exp1,154,32,WhiteEuropean,High School/GED,Male,2,110,65,43,9,2,31,1,1,110,1,Correct ID,1,90,1,1,yes
Exp1,156,52,WhiteEuropean,4-Year College Degree (BA BS),Male,2,80,63,20,110,78,54,0,0,Not present,1,Correct Reject,NA,50,1,1,yes
Exp1,157,27,WhiteEuropean,Masters Degree,Male,2,78,110,82,27,49,48,0,0,Not present,1,Correct Reject,NA,60,1,1,yes
Exp1,159,33,WhiteEuropean,Currently Attending College,Female,1,109,79,11,86,43,110,1,1,110,1,Correct ID,1,70,1,1,yes
Exp1,162,32,AsianIndian,4-Year College Degree (BA BS),Female,2,99,27,16,29,61,110,1,0,Not present,0,Incorrect Reject,NA,60,1,1,yes
Exp1,167,41,WhiteEuropean,4-Year College Degree (BA BS),Female,1,98,110,57,71,56,68,0,1,71,0,Filler ID,NA,80,1,1,yes
Exp1,168,67,WhiteEuropean,4-Year College Degree (BA BS),Female,2,105,96,10,110,68,88,1,1,110,1,Correct ID,1,70,2,0,no
Exp1,169,34,WhiteEuropean,High School/GED,Male,2,45,6,25,78,100,110,1,0,Not present,0,Incorrect Reject,NA,80,1,1,yes
Exp1,170,39,WhiteEuropean,4-Year College Degree (BA BS),Male,1,29,98,57,48,108,110,0,1,29,0,Filler ID,NA,70,1,1,yes
Exp1,171,30,WhiteEuropean,Currently Attending College,Female,3,60,110,29,104,73,88,0,0,Not present,1,Correct Reject,NA,40,1,1,yes
Exp1,173,28,AsianIndian,4-Year College Degree (BA BS),Male,2,94,41,110,109,76,62,0,1,76,0,Filler ID,NA,50,1,1,yes
Exp1,174,21,LatinHispanic,Currently Attending College,Male,3,43,42,110,4,73,72,1,1,110,1,Correct ID,1,30,2,0,no
Exp1,175,24,WhiteEuropean,4-Year College Degree (BA BS),Male,3,110,43,99,64,87,26,0,0,Not present,1,Correct Reject,NA,80,1,1,yes
Exp1,176,37,AsianIndian,4-Year College Degree (BA BS),Female,1,86,29,9,110,90,14,0,1,29,0,Filler ID,NA,70,1,1,yes
Exp1,177,45,WhiteEuropean,4-Year College Degree (BA BS),Male,3,58,99,110,56,43,97,1,1,110,1,Correct ID,1,90,1,1,yes
Exp1,179,29,AsianIndian,4-Year College Degree (BA BS),Male,3,91,35,52,34,92,110,0,1,34,0,Filler ID,NA,100,1,1,yes
Exp1,180,26,WhiteEuropean,2-Year College Degree (Associates),Female,3,15,83,78,12,53,110,0,1,83,0,Filler ID,NA,70,1,1,yes
Exp1,181,30,AsianIndian,Currently Attending College,Male,1,71,72,103,110,95,7,0,1,95,0,Filler ID,NA,80,1,1,yes
Exp1,182,26,AsianIndian,Doctoral Degree,Male,3,110,60,18,97,104,82,1,1,104,0,Filler ID,NA,100,1,1,yes
Exp1,184,64,WhiteEuropean,2-Year College Degree (Associates),Female,3,95,110,105,83,11,74,1,1,110,1,Correct ID,1,80,1,1,yes
Exp1,185,35,WhiteEuropean,Doctoral Degree,Male,1,59,92,23,56,46,110,1,0,Not present,0,Incorrect Reject,NA,100,1,1,yes
Exp1,186,38,WhiteEuropean,High School/GED,Female,2,110,79,84,88,26,2,0,0,Not present,1,Correct Reject,NA,70,1,1,yes
Exp1,187,58,WhiteEuropean,High School/GED,Male,1,11,110,33,74,78,7,1,1,110,1,Correct ID,1,90,1,1,yes
Exp1,188,42,WhiteEuropean,High School/GED,Male,3,110,83,88,42,57,79,0,1,79,0,Filler ID,NA,70,1,1,yes
Exp1,189,48,LatinHispanic,4-Year College Degree (BA BS),Female,2,110,90,91,13,43,57,1,1,110,1,Correct ID,1,100,1,1,yes
Exp1,190,35,WhiteEuropean,2-Year College Degree (Associates),Male,1,78,88,23,110,39,24,0,1,78,0,Filler ID,NA,70,1,1,yes
Exp1,191,35,WhiteEuropean,4-Year College Degree (BA BS),Male,1,81,71,10,98,9,110,0,0,Not present,1,Correct Reject,NA,60,1,1,yes
Exp1,192,64,WhiteEuropean,High School/GED,Female,1,46,70,110,14,86,42,0,1,42,0,Filler ID,NA,80,1,1,yes
Exp1,193,23,AsianIndian,4-Year College Degree (BA BS),Male,1,99,43,25,60,85,110,1,1,85,0,Filler ID,NA,60,1,1,yes
Exp1,194,56,WhiteEuropean,2-Year College Degree (Associates),Female,3,42,55,57,106,110,24,1,1,110,1,Correct ID,1,60,1,1,yes
Exp1,196,33,WhiteEuropean,2-Year College Degree (Associates),Female,3,69,89,71,110,85,86,1,1,110,1,Correct ID,1,40,1,1,yes
Exp1,198,25,AsianIndian,4-Year College Degree (BA BS),Female,2,100,110,95,68,30,62,0,1,110,0,False ID,0,60,1,1,yes
Exp1,199,57,WhiteEuropean,4-Year College Degree (BA BS),Male,1,28,56,40,50,110,86,1,1,28,0,Filler ID,NA,30,1,1,yes
Exp1,200,25,WhiteEuropean,Currently Attending College,Male,3,62,26,110,23,86,47,1,1,110,1,Correct ID,1,70,1,1,yes
Exp1,203,41,LatinHispanic,4-Year College Degree (BA BS),Male,3,24,89,110,16,26,36,1,0,Not present,0,Incorrect Reject,NA,100,1,1,yes
Exp1,205,47,WhiteEuropean,2-Year College Degree (Associates),Female,3,110,64,38,74,18,56,0,1,56,0,Filler ID,NA,0,1,1,yes
Exp1,206,39,WhiteEuropean,4-Year College Degree (BA BS),Female,3,110,78,54,44,73,99,1,0,Not present,0,Incorrect Reject,NA,100,1,1,yes
Exp1,207,34,AsianIndian,4-Year College Degree (BA BS),Male,2,110,73,93,5,82,65,1,0,Not present,0,Incorrect Reject,NA,80,1,1,yes
Exp1,208,25,WhiteEuropean,4-Year College Degree (BA BS),Female,3,55,103,110,80,37,54,0,0,Not present,1,Correct Reject,NA,70,1,1,yes
Exp1,209,69,WhiteEuropean,4-Year College Degree (BA BS),Male,1,24,110,49,18,102,72,0,0,Not present,1,Correct Reject,NA,60,1,1,yes
Exp1,210,40,WhiteEuropean,4-Year College Degree (BA BS),Male,2,77,4,81,85,11,110,0,0,Not present,1,Correct Reject,NA,90,1,1,yes
Exp1,211,44,WhiteEuropean,4-Year College Degree (BA BS),Male,3,19,41,110,99,98,78,1,1,110,1,Correct ID,1,90,1,1,yes
Exp1,212,47,WhiteEuropean,High School/GED,Male,1,23,30,66,33,110,45,1,1,110,1,Correct ID,1,80,1,1,yes
Exp1,213,36,WhiteEuropean,4-Year College Degree (BA BS),Female,1,47,110,34,58,20,94,0,0,Not present,1,Correct Reject,NA,90,1,1,yes
Exp1,215,34,WhiteEuropean,2-Year College Degree (Associates),Female,1,20,107,86,110,82,34,1,1,86,0,Filler ID,NA,90,1,1,yes
Exp1,218,26,WhiteEuropean,2-Year College Degree (Associates),Female,3,88,110,6,78,103,34,1,1,110,1,Correct ID,1,60,1,1,yes
Exp1,219,47,Mixed Ethnicity,4-Year College Degree (BA BS),Female,3,7,110,67,65,107,63,0,0,Not present,1,Correct Reject,NA,80,1,1,yes
Exp1,222,24,WhiteEuropean,4-Year College Degree (BA BS),Female,1,104,50,110,6,102,100,1,1,104,0,Filler ID,NA,30,1,1,yes
Exp1,224,23,WhiteEuropean,4-Year College Degree (BA BS),Male,3,40,110,25,38,79,93,0,0,Not present,1,Correct Reject,NA,50,4,0,no
Exp1,225,36,WhiteEuropean,High School/GED,Male,3,17,80,40,27,57,110,0,0,Not present,1,Correct Reject,NA,80,1,1,yes
Exp1,226,33,WhiteEuropean,ProfessioNULLl Degree (MD JD),Male,1,40,88,27,110,29,38,0,0,Not present,1,Correct Reject,NA,90,1,1,yes
Exp1,227,18,AsianIndian,Currently Attending College,Male,2,32,106,105,110,41,76,0,0,Not present,1,Correct Reject,NA,60,1,1,yes
Exp1,229,29,WhiteEuropean,4-Year College Degree (BA BS),Male,2,55,110,3,63,80,65,0,0,Not present,1,Correct Reject,NA,70,1,1,yes
Exp1,230,31,WhiteEuropean,4-Year College Degree (BA BS),Male,3,106,23,32,110,28,26,1,1,106,0,Filler ID,NA,70,1,1,yes
Exp1,231,26,LatinHispanic,4-Year College Degree (BA BS),Male,1,5,52,66,109,69,110,0,0,Not present,1,Correct Reject,NA,90,1,1,yes
Exp1,232,45,WhiteEuropean,High School/GED,Female,1,10,110,71,63,88,34,1,1,110,1,Correct ID,1,70,1,1,yes
Exp1,233,21,WhiteEuropean,Currently Attending College,Male,2,86,8,25,2,110,31,1,0,Not present,0,Incorrect Reject,NA,100,1,1,yes
Exp1,234,27,WhiteEuropean,High School/GED,Female,3,23,51,110,73,89,34,0,0,Not present,1,Correct Reject,NA,90,1,1,yes
Exp1,235,60,LatinHispanic,4-Year College Degree (BA BS),Female,1,110,72,67,17,6,102,1,1,110,1,Correct ID,1,100,1,1,yes
Exp1,237,32,WhiteEuropean,4-Year College Degree (BA BS),Female,3,50,110,48,42,85,31,1,1,110,1,Correct ID,1,50,1,1,yes
Exp1,238,21,BlackAfrican,High School/GED,Male,3,2,11,110,26,23,83,1,1,110,1,Correct ID,1,70,1,1,yes
Exp1,239,28,AsianIndian,4-Year College Degree (BA BS),Male,3,110,95,109,73,100,8,0,0,Not present,1,Correct Reject,NA,20,1,1,yes
Exp1,240,48,WhiteEuropean,2-Year College Degree (Associates),Male,3,68,20,22,60,110,38,0,0,Not present,1,Correct Reject,NA,50,1,1,yes
Exp1,241,34,WhiteEuropean,4-Year College Degree (BA BS),Male,2,32,92,91,110,105,71,1,1,92,0,Filler ID,NA,80,1,1,yes
Exp1,242,40,WhiteEuropean,High School/GED,Female,3,104,37,99,30,58,110,0,1,58,0,Filler ID,NA,40,1,1,yes
Exp1,243,28,LatinHispanic,4-Year College Degree (BA BS),Female,3,68,110,53,51,15,91,0,1,91,0,Filler ID,NA,90,1,1,yes
Exp1,244,35,WhiteEuropean,Masters Degree,Female,2,55,108,91,60,63,110,1,0,Not present,0,Incorrect Reject,NA,90,1,1,yes
Exp1,246,25,WhiteEuropean,2-Year College Degree (Associates),Female,1,20,24,110,17,8,62,0,0,Not present,1,Correct Reject,NA,60,1,1,yes
Exp1,247,25,WhiteEuropean,4-Year College Degree (BA BS),Male,3,102,103,88,80,42,110,1,1,110,1,Correct ID,1,80,2,0,no
Exp1,248,42,WhiteEuropean,Masters Degree,Female,3,17,47,110,64,12,18,1,1,110,1,Correct ID,1,90,1,1,yes
Exp1,250,31,AsianIndian,4-Year College Degree (BA BS),Male,2,103,9,60,32,16,110,0,1,32,0,Filler ID,NA,70,1,1,yes
Exp1,252,43,WhiteEuropean,4-Year College Degree (BA BS),Male,3,110,9,58,11,27,84,0,1,110,0,False ID,0,90,1,1,yes
Exp1,253,35,WhiteEuropean,4-Year College Degree (BA BS),Male,1,59,21,10,61,14,110,0,0,Not present,1,Correct Reject,NA,80,1,1,yes
Exp1,254,20,BlackAfrican,Currently Attending College,Female,1,98,81,73,51,68,110,1,0,Not present,0,Incorrect Reject,NA,30,1,1,yes
Exp1,256,26,WhiteEuropean,High School/GED,Male,1,30,60,26,36,81,110,0,1,30,0,Filler ID,NA,20,1,1,yes
Exp1,258,18,Mixed Ethnicity,Currently Attending College,Female,1,25,56,106,110,86,19,1,1,106,0,Filler ID,NA,50,1,1,yes
Exp1,260,28,WhiteEuropean,4-Year College Degree (BA BS),Female,3,8,78,58,110,74,28,0,0,Not present,1,Correct Reject,NA,60,1,1,yes
Exp1,262,43,WhiteEuropean,4-Year College Degree (BA BS),Female,1,5,96,48,59,110,52,0,0,Not present,1,Correct Reject,NA,80,1,1,yes
Exp1,263,32,WhiteEuropean,4-Year College Degree (BA BS),Female,3,39,10,110,90,92,44,1,1,110,1,Correct ID,1,50,1,1,yes
Exp1,264,28,WhiteEuropean,High School/GED,Female,1,20,67,110,76,54,22,1,1,110,1,Correct ID,1,100,1,1,yes
Exp1,265,31,WhiteEuropean,High School/GED,Female,3,61,40,56,110,10,54,0,0,Not present,1,Correct Reject,NA,50,1,1,yes
Exp1,266,36,WhiteEuropean,4-Year College Degree (BA BS),Male,3,98,99,67,61,30,110,1,0,Not present,0,Incorrect Reject,NA,70,1,1,yes
