Experiment,idnumber,RecruitedFrom,age,ethnicity,education,gender,condition,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6,targetPresent,participantTargetPresent,participantSelection,accuracy,participantIDdecision,accuracyInnocentSupsect,confidence,question1ans,question1acc,completed before,include
Exp2,9426,mturk,30,Other,4-Year College Degree (BA BS),Male,3,72,34,58,6,103,110,0,0,Not present,1,Correct Reject,NA,50,1,1,0,yes
Exp2,9427,mturk,25,WhiteEuropean,High School/GED,Female,1,31,66,9,110,77,51,1,0,Not present,0,Incorrect Reject,NA,70,1,1,0,yes
Exp2,9428,mturk,37,AsianIndian,4-Year College Degree (BA BS),Female,3,67,13,110,71,24,18,0,1,24,0,Filler ID,NA,80,1,1,0,yes
Exp2,9429,mturk,46,BlackAfrican,Masters Degree,Male,2,17,95,43,7,110,13,0,1,13,0,Filler ID,NA,60,1,1,0,yes
Exp2,9432,mturk,27,LatinHispanic,4-Year College Degree (BA BS),Male,1,97,110,19,62,102,18,1,1,102,0,Filler ID,NA,60,1,1,0,yes
Exp2,9433,mturk,25,WhiteEuropean,2-Year College Degree (Associates),Female,1,36,107,110,45,13,58,0,1,45,0,Filler ID,NA,30,1,1,0,yes
Exp2,9434,mturk,46,WhiteEuropean,High School/GED,Female,3,92,99,19,16,104,110,0,1,99,0,Filler ID,NA,40,1,1,0,yes
Exp2,9435,mturk,24,AsianIndian,4-Year College Degree (BA BS),Male,3,40,110,77,94,38,71,1,1,110,1,Correct ID,1,80,1,1,0,yes
Exp2,9436,mturk,49,WhiteEuropean,4-Year College Degree (BA BS),Male,1,80,110,38,12,58,84,0,1,84,0,Filler ID,NA,100,1,1,0,yes
Exp2,9437,mturk,57,WhiteEuropean,High School/GED,Female,3,67,65,94,59,108,110,1,1,110,1,Correct ID,1,60,1,1,0,yes
Exp2,9438,mturk,22,WhiteEuropean,4-Year College Degree (BA BS),Female,1,7,58,94,110,106,102,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,9439,mturk,41,WhiteEuropean,2-Year College Degree (Associates),Male,2,88,21,43,23,52,110,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,9440,mturk,39,BlackAfrican,High School/GED,Female,3,42,109,33,81,101,110,1,1,110,1,Correct ID,1,50,1,1,0,yes
Exp2,9441,mturk,31,Mixed Ethnicity,Masters Degree,Male,2,70,61,101,42,110,64,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,9442,mturk,43,WhiteEuropean,4-Year College Degree (BA BS),Female,1,3,11,87,16,110,43,0,0,Not present,1,Correct Reject,NA,60,1,1,0,yes
Exp2,9443,mturk,31,BlackAfrican,Masters Degree,Male,2,82,55,72,5,11,110,0,0,Not present,1,Correct Reject,NA,50,1,1,0,yes
Exp2,9444,mturk,28,NR,2-Year College Degree (Associates),Female,2,48,110,83,1,49,11,1,1,110,1,Correct ID,1,40,1,1,0,yes
Exp2,9445,mturk,31,WhiteEuropean,4-Year College Degree (BA BS),Female,1,18,3,1,110,47,19,1,0,Not present,0,Incorrect Reject,NA,90,1,1,0,yes
Exp2,9446,mturk,48,NR,NR,Female,1,95,32,86,66,107,110,1,0,Not present,0,Incorrect Reject,NA,50,1,1,0,yes
Exp2,9448,mturk,22,WhiteEuropean,Currently Attending College,Male,1,110,48,89,19,74,94,1,0,Not present,0,Incorrect Reject,NA,80,1,1,0,yes
Exp2,9450,mturk,26,WhiteEuropean,4-Year College Degree (BA BS),Male,2,34,81,110,72,1,105,1,1,110,1,Correct ID,1,80,1,1,0,yes
Exp2,9451,mturk,62,WhiteEuropean,Masters Degree,Male,2,89,110,78,97,26,82,1,1,97,0,Filler ID,NA,30,1,1,0,yes
Exp2,9452,mturk,30,WhiteEuropean,4-Year College Degree (BA BS),Female,1,110,53,90,106,68,87,0,1,87,0,Filler ID,NA,20,1,1,0,yes
Exp2,9453,mturk,50,Other,High School/GED,Female,3,30,110,20,65,79,91,1,1,79,0,Filler ID,NA,50,1,1,0,yes
Exp2,9454,mturk,22,WhiteEuropean,Currently Attending College,Female,2,55,37,110,11,89,94,1,1,110,1,Correct ID,1,80,1,1,0,yes
Exp2,9455,mturk,NR,NR,NR,NR,3,15,88,76,12,3,110,0,0,Not present,1,Correct Reject,NA,90,1,1,0,yes
Exp2,9456,mturk,22,WhiteEuropean,High School/GED,Female,3,71,28,44,40,110,103,1,0,Not present,0,Incorrect Reject,NA,70,1,1,0,yes
Exp2,9457,mturk,25,AsianIndian,Masters Degree,Female,3,30,15,12,91,107,110,0,0,Not present,1,Correct Reject,NA,50,1,1,0,yes
Exp2,9458,mturk,53,WhiteEuropean,4-Year College Degree (BA BS),Male,2,34,85,2,110,48,41,1,1,110,1,Correct ID,1,40,1,1,0,yes
Exp2,9459,mturk,30,WhiteEuropean,4-Year College Degree (BA BS),Female,2,104,6,34,19,76,110,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,9460,mturk,17,WhiteEuropean,High School/GED,Male,2,46,110,33,28,24,107,1,1,110,1,Correct ID,1,60,1,1,0,yes
Exp2,9461,mturk,40,WhiteEuropean,4-Year College Degree (BA BS),Female,1,26,86,80,56,53,110,1,1,86,0,Filler ID,NA,50,1,1,0,yes
Exp2,9462,mturk,39,WhiteEuropean,2-Year College Degree (Associates),Male,1,53,110,66,10,56,82,0,1,66,0,Filler ID,NA,0,2,0,0,no
Exp2,9463,mturk,28,WhiteEuropean,4-Year College Degree (BA BS),Male,1,75,59,108,84,110,44,0,1,84,0,Filler ID,NA,90,1,1,0,yes
Exp2,9465,mturk,28,WhiteEuropean,2-Year College Degree (Associates),Female,3,39,11,1,91,55,110,0,1,11,0,Filler ID,NA,80,1,1,0,yes
Exp2,9466,mturk,28,WhiteEuropean,High School/GED,Female,2,109,37,48,110,43,7,0,0,Not present,1,Correct Reject,NA,80,1,1,0,yes
Exp2,9467,mturk,47,WhiteEuropean,2-Year College Degree (Associates),Female,1,1,40,34,71,31,110,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,9468,mturk,33,WhiteEuropean,High School/GED,Female,2,110,1,68,8,18,91,0,1,68,0,Filler ID,NA,40,1,1,0,yes
Exp2,9469,mturk,30,WhiteEuropean,4-Year College Degree (BA BS),Male,1,73,31,102,56,110,29,0,0,Not present,1,Correct Reject,NA,60,1,1,0,yes
Exp2,9471,mturk,41,BlackAfrican,4-Year College Degree (BA BS),Female,3,110,60,49,65,97,96,0,0,Not present,1,Correct Reject,NA,90,1,1,0,yes
Exp2,9472,mturk,29,WhiteEuropean,Currently Attending College,Female,2,80,5,110,50,103,70,1,1,5,0,Filler ID,NA,70,1,1,0,yes
Exp2,9474,mturk,26,AsianIndian,4-Year College Degree (BA BS),Male,1,110,55,47,44,18,76,0,1,18,0,Filler ID,NA,50,1,1,0,yes
Exp2,9475,mturk,22,Mixed Ethnicity,4-Year College Degree (BA BS),Female,1,87,50,25,110,14,64,0,0,Not present,1,Correct Reject,NA,30,1,1,0,yes
Exp2,9476,mturk,71,WhiteEuropean,4-Year College Degree (BA BS),Male,1,110,55,83,35,22,103,1,1,83,0,Filler ID,NA,100,1,1,0,yes
Exp2,9478,mturk,51,WhiteEuropean,High School/GED,Male,1,91,74,89,37,2,110,0,1,89,0,Filler ID,NA,70,1,1,0,yes
Exp2,9479,mturk,29,BlackAfrican,High School/GED,Male,2,33,56,61,19,53,110,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,9480,mturk,36,AsianIndian,Masters Degree,Male,3,5,10,110,108,40,61,1,1,110,1,Correct ID,1,90,1,1,0,yes
Exp2,9481,mturk,47,AsianIndian,4-Year College Degree (BA BS),Female,1,50,23,85,60,36,110,0,1,23,0,Filler ID,NA,80,1,1,0,yes
Exp2,9482,mturk,32,WhiteEuropean,High School/GED,Female,1,110,71,96,55,109,21,0,1,110,0,False ID,0,70,1,1,0,yes
Exp2,9483,mturk,29,WhiteEuropean,Currently Attending College,Male,1,8,91,42,78,3,110,1,1,42,0,Filler ID,NA,70,1,1,0,yes
Exp2,9486,mturk,24,WhiteEuropean,4-Year College Degree (BA BS),Male,3,110,73,106,43,15,41,0,0,Not present,1,Correct Reject,NA,50,1,1,0,yes
Exp2,9487,mturk,26,WhiteEuropean,4-Year College Degree (BA BS),Female,3,50,71,110,85,21,59,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,9488,mturk,21,BlackAfrican,Currently Attending College,Female,1,51,8,104,89,62,110,1,0,Not present,0,Incorrect Reject,NA,60,1,1,0,yes
Exp2,9489,mturk,41,LatinHispanic,Doctoral Degree,Male,1,92,25,110,95,77,102,0,1,102,0,Filler ID,NA,100,1,1,0,yes
Exp2,9490,mturk,53,WhiteEuropean,4-Year College Degree (BA BS),Male,3,102,110,61,92,27,33,0,1,27,0,Filler ID,NA,20,1,1,0,yes
Exp2,9492,mturk,28,BlackAfrican,4-Year College Degree (BA BS),Male,3,36,31,110,45,59,68,0,0,Not present,1,Correct Reject,NA,50,1,1,0,yes
Exp2,9493,mturk,63,WhiteEuropean,2-Year College Degree (Associates),Male,3,110,78,83,36,95,104,1,1,110,1,Correct ID,1,60,1,1,0,yes
Exp2,9495,mturk,51,WhiteEuropean,High School/GED,Female,2,16,85,110,71,75,93,0,1,75,0,Filler ID,NA,90,1,1,0,yes
Exp2,9496,mturk,37,WhiteEuropean,Masters Degree,Male,1,110,58,97,90,91,5,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,9497,mturk,37,AsianIndian,High School/GED,Male,1,110,7,28,52,61,57,0,0,Not present,1,Correct Reject,NA,60,1,1,0,yes
Exp2,9498,mturk,42,WhiteEuropean,2-Year College Degree (Associates),Female,3,38,50,51,110,12,42,0,0,Not present,1,Correct Reject,NA,50,1,1,0,yes
Exp2,9499,mturk,29,WhiteEuropean,4-Year College Degree (BA BS),Female,3,53,110,14,32,3,37,0,1,53,0,Filler ID,NA,80,1,1,0,yes
Exp2,9500,mturk,40,WhiteEuropean,Masters Degree,Female,2,16,110,98,107,71,91,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,9502,mturk,35,WhiteEuropean,4-Year College Degree (BA BS),Female,1,82,20,16,76,107,110,0,1,82,0,Filler ID,NA,90,1,1,0,yes
Exp2,9503,mturk,36,WhiteEuropean,4-Year College Degree (BA BS),Female,2,53,110,82,21,16,29,0,0,Not present,1,Correct Reject,NA,30,1,1,0,yes
Exp2,9504,mturk,31,WhiteEuropean,4-Year College Degree (BA BS),Female,2,34,95,1,110,20,25,0,1,95,0,Filler ID,NA,50,1,1,0,yes
Exp2,9505,mturk,42,WhiteEuropean,4-Year College Degree (BA BS),Female,2,101,44,102,62,110,61,1,1,110,1,Correct ID,1,90,1,1,0,yes
Exp2,9506,mturk,48,WhiteEuropean,2-Year College Degree (Associates),Female,3,8,36,110,75,37,5,1,1,110,1,Correct ID,1,60,1,1,0,yes
Exp2,9507,mturk,22,WhiteEuropean,4-Year College Degree (BA BS),Female,3,42,108,110,57,69,56,1,0,Not present,0,Incorrect Reject,NA,30,1,1,0,yes
Exp2,9508,mturk,35,WhiteEuropean,4-Year College Degree (BA BS),Male,3,43,37,14,71,93,110,0,0,Not present,1,Correct Reject,NA,80,1,1,0,yes
Exp2,9509,mturk,27,WhiteEuropean,High School/GED,Male,2,44,70,35,56,10,110,0,1,70,0,Filler ID,NA,40,1,1,0,yes
Exp2,9510,mturk,NR,NR,NR,NR,2,110,83,23,51,40,41,0,0,Not present,1,Correct Reject,NA,90,1,1,0,yes
Exp2,9511,mturk,37,AsianIndian,4-Year College Degree (BA BS),Male,1,110,42,98,91,60,82,1,1,82,0,Filler ID,NA,50,1,1,0,yes
Exp2,9513,mturk,23,WhiteEuropean,4-Year College Degree (BA BS),Female,3,76,88,36,29,61,110,0,0,Not present,1,Correct Reject,NA,50,1,1,0,yes
Exp2,9514,mturk,26,BlackAfrican,High School/GED,Female,2,17,89,72,99,28,110,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,9515,mturk,38,AsianIndian,4-Year College Degree (BA BS),Male,2,15,110,45,38,49,40,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,9516,mturk,35,LatinHispanic,NR,Male,3,13,110,107,95,30,94,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,9517,mturk,35,WhiteEuropean,4-Year College Degree (BA BS),Male,3,68,16,110,71,95,18,0,1,110,0,False ID,0,50,1,1,0,yes
Exp2,9518,mturk,38,WhiteEuropean,Professional Degree (MD JD),Male,2,85,65,2,105,110,10,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,9519,mturk,41,WhiteEuropean,4-Year College Degree (BA BS),Female,1,110,22,32,3,83,66,1,1,110,1,Correct ID,1,60,1,1,0,yes
Exp2,9520,mturk,58,WhiteEuropean,High School/GED,Female,2,67,47,16,29,14,110,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,9521,mturk,20,WhiteEuropean,High School/GED,Female,3,50,6,80,14,62,110,0,0,Not present,1,Correct Reject,NA,90,1,1,0,yes
Exp2,9522,mturk,29,WhiteEuropean,Masters Degree,Female,1,12,61,80,69,47,110,1,0,Not present,0,Incorrect Reject,NA,90,1,1,0,yes
Exp2,9524,mturk,23,WhiteEuropean,Currently Attending College,Male,2,94,110,84,31,34,98,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,9525,mturk,35,WhiteEuropean,Masters Degree,Male,3,57,110,32,83,16,28,1,1,110,1,Correct ID,1,90,1,1,0,yes
Exp2,9526,mturk,22,LatinHispanic,Currently Attending College,Female,1,102,65,30,110,40,55,0,0,Not present,1,Correct Reject,NA,60,1,1,0,yes
Exp2,9527,mturk,21,WhiteEuropean,2-Year College Degree (Associates),Male,1,89,83,110,68,88,1,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,9528,mturk,55,WhiteEuropean,2-Year College Degree (Associates),Female,1,3,10,42,110,7,89,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,9529,mturk,40,WhiteEuropean,High School/GED,Female,3,90,30,68,110,102,53,1,1,110,1,Correct ID,1,90,1,1,0,yes
Exp2,9530,mturk,39,WhiteEuropean,2-Year College Degree (Associates),Male,3,21,34,32,59,110,16,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,9531,mturk,31,BlackAfrican,Masters Degree,Female,2,11,107,72,110,14,100,1,1,107,0,Filler ID,NA,80,2,0,0,no
Exp2,9532,mturk,33,AsianIndian,Masters Degree,Female,1,17,3,54,52,110,47,0,0,Not present,1,Correct Reject,NA,80,1,1,0,yes
Exp2,9533,mturk,24,WhiteEuropean,2-Year College Degree (Associates),Female,1,110,75,28,35,68,39,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,9534,mturk,23,WhiteEuropean,Currently Attending College,Female,2,32,110,90,95,49,88,0,1,110,0,False ID,0,90,1,1,0,yes
Exp2,9537,mturk,35,WhiteEuropean,High School/GED,Male,2,59,21,80,17,48,110,0,1,21,0,Filler ID,NA,10,1,1,0,yes
Exp2,9538,mturk,40,WhiteEuropean,4-Year College Degree (BA BS),Female,1,110,92,68,59,20,90,1,0,Not present,0,Incorrect Reject,NA,100,1,1,0,yes
Exp2,9539,mturk,36,WhiteEuropean,Masters Degree,Male,3,110,45,33,2,73,26,0,0,Not present,1,Correct Reject,NA,90,1,1,0,yes
Exp2,9540,mturk,51,WhiteEuropean,4-Year College Degree (BA BS),Male,1,77,95,110,101,18,71,0,0,Not present,1,Correct Reject,NA,80,1,1,0,yes
Exp2,9541,mturk,25,AsianIndian,Masters Degree,Male,3,12,61,51,50,1,110,1,0,Not present,0,Incorrect Reject,NA,40,1,1,0,yes
Exp2,9542,mturk,23,WhiteEuropean,4-Year College Degree (BA BS),Male,2,17,16,110,36,92,50,0,0,Not present,1,Correct Reject,NA,60,1,1,0,yes
Exp2,9544,mturk,48,WhiteEuropean,Masters Degree,Male,1,110,90,65,80,57,24,1,1,110,1,Correct ID,1,80,1,1,0,yes
Exp2,9545,mturk,39,BlackAfrican,4-Year College Degree (BA BS),Male,2,40,53,88,37,110,58,0,0,Not present,1,Correct Reject,NA,80,1,1,0,yes
Exp2,9546,mturk,23,Mixed Ethnicity,2-Year College Degree (Associates),Female,3,11,49,95,110,73,107,0,0,Not present,1,Correct Reject,NA,100,1,1,0,yes
Exp2,9547,mturk,39,AsianIndian,2-Year College Degree (Associates),Female,3,103,70,59,110,45,29,0,1,103,0,Filler ID,NA,70,1,1,0,yes
Exp2,9548,mturk,44,LatinHispanic,Professional Degree (MD JD),Male,1,9,102,110,86,5,14,0,0,Not present,1,Correct Reject,NA,90,1,1,0,yes
Exp2,9549,mturk,24,AsianIndian,4-Year College Degree (BA BS),Male,3,33,87,72,110,58,9,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,9550,mturk,54,WhiteEuropean,High School/GED,Female,1,75,90,110,27,74,12,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,9551,mturk,30,AsianIndian,4-Year College Degree (BA BS),Female,3,30,50,65,84,110,100,1,0,Not present,0,Incorrect Reject,NA,20,1,1,0,yes
Exp2,9552,mturk,29,WhiteEuropean,2-Year College Degree (Associates),Female,3,31,78,75,98,110,3,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,9553,mturk,31,WhiteEuropean,Masters Degree,Male,2,107,57,41,110,93,45,1,0,Not present,0,Incorrect Reject,NA,40,1,1,0,yes
Exp2,9554,mturk,43,WhiteEuropean,2-Year College Degree (Associates),Female,3,66,44,22,105,39,110,0,1,105,0,Filler ID,NA,50,1,1,0,yes
Exp2,9556,mturk,30,AsianIndian,2-Year College Degree (Associates),Male,1,81,110,30,35,45,92,0,0,Not present,1,Correct Reject,NA,50,1,1,0,yes
Exp2,9557,mturk,29,WhiteEuropean,4-Year College Degree (BA BS),Male,2,110,73,43,49,56,10,1,1,73,0,Filler ID,NA,100,1,1,0,yes
Exp2,9558,mturk,27,WhiteEuropean,High School/GED,Female,3,41,110,37,43,88,87,0,0,Not present,1,Correct Reject,NA,70,1,1,0,yes
Exp2,9559,mturk,32,AsianIndian,4-Year College Degree (BA BS),Male,3,23,53,110,66,69,49,1,1,110,1,Correct ID,1,90,1,1,0,yes
Exp2,9560,mturk,25,BlackAfrican,4-Year College Degree (BA BS),Male,1,97,55,110,23,4,10,1,0,Not present,0,Incorrect Reject,NA,60,4,0,0,no
Exp2,9563,mturk,28,AsianIndian,4-Year College Degree (BA BS),Male,2,82,88,110,30,74,68,1,1,110,1,Correct ID,1,70,1,1,0,yes
Exp2,9564,mturk,23,WhiteEuropean,4-Year College Degree (BA BS),Female,1,29,36,39,110,103,67,0,1,110,0,False ID,0,40,1,1,0,yes
Exp2,9568,mturk,57,BlackAfrican,Masters Degree,Male,1,8,110,104,61,66,36,1,1,110,1,Correct ID,1,50,1,1,0,yes
Exp2,9569,mturk,28,WhiteEuropean,4-Year College Degree (BA BS),Female,1,88,110,74,29,32,71,0,1,88,0,Filler ID,NA,70,1,1,0,yes
Exp2,9570,mturk,24,WhiteEuropean,4-Year College Degree (BA BS),Female,1,57,110,79,86,63,105,0,1,79,0,Filler ID,NA,70,1,1,0,yes
Exp2,9571,mturk,54,WhiteEuropean,4-Year College Degree (BA BS),Male,3,62,93,102,71,26,110,1,1,110,1,Correct ID,1,80,1,1,0,yes
Exp2,9572,mturk,44,WhiteEuropean,4-Year College Degree (BA BS),Female,1,40,78,110,88,64,108,1,1,40,0,Filler ID,NA,30,4,0,0,no
Exp2,9574,mturk,19,AsianIndian,4-Year College Degree (BA BS),Female,3,110,104,57,47,98,103,0,0,Not present,1,Correct Reject,NA,80,1,1,0,yes
Exp2,9575,mturk,19,BlackAfrican,Currently Attending College,Male,2,87,58,43,110,18,28,0,0,Not present,1,Correct Reject,NA,50,1,1,0,yes
Exp2,9576,mturk,23,LatinHispanic,High School/GED,Male,2,53,49,85,1,90,110,0,0,Not present,1,Correct Reject,NA,80,1,1,0,yes
Exp2,9577,mturk,33,WhiteEuropean,High School/GED,Female,3,94,54,43,57,110,33,1,1,110,1,Correct ID,1,80,1,1,0,yes
Exp2,9578,mturk,25,BlackAfrican,Currently Attending College,Male,1,22,41,104,110,35,9,0,1,104,0,Filler ID,NA,60,1,1,0,yes
Exp2,9579,mturk,38,BlackAfrican,Masters Degree,Male,2,43,41,99,110,60,109,1,1,110,1,Correct ID,1,90,1,1,0,yes
Exp2,9580,mturk,42,WhiteEuropean,2-Year College Degree (Associates),Male,1,48,36,17,3,72,110,1,1,110,1,Correct ID,1,80,1,1,0,yes
Exp2,9581,mturk,25,WhiteEuropean,4-Year College Degree (BA BS),Female,3,78,98,110,87,89,64,1,0,Not present,0,Incorrect Reject,NA,100,1,1,0,yes
Exp2,9582,mturk,25,WhiteEuropean,4-Year College Degree (BA BS),Female,3,11,80,3,68,39,110,0,1,110,0,False ID,0,70,1,1,0,yes
Exp2,9587,mturk,27,AsianIndian,4-Year College Degree (BA BS),Male,3,31,7,110,95,70,84,1,1,110,1,Correct ID,1,90,1,1,0,yes
Exp2,9588,mturk,25,WhiteEuropean,4-Year College Degree (BA BS),Female,3,71,108,110,37,45,65,1,1,110,1,Correct ID,1,60,1,1,0,yes
Exp2,9589,mturk,39,BlackAfrican,Masters Degree,Female,2,10,55,53,50,110,67,1,1,50,0,Filler ID,NA,50,1,1,0,yes
Exp2,9590,mturk,48,WhiteEuropean,4-Year College Degree (BA BS),Female,2,41,36,110,62,47,19,1,0,Not present,0,Incorrect Reject,NA,0,1,1,0,yes
